Source:,/home/kolijn/Temp/ttntrackernode/schematic/v3/gps_node.sch,,,,,,,,,,,,
Date:,Sun 11 Nov 2018 14:27:34 SAST,,,,,,,,,,,,
Tool:,Eeschema 5.0.0-fee4fd1~66~ubuntu16.04.1,,,,,,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,73,,,,,,,,,,,,
,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey,Manufacturer,,,,,
,,R4,22,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R5,22,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R6,10k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R10,10k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R11,10k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R12,1k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R13,1k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R14,2k,gps_node-rescue:R_Small,Resistors_SMD:R_0805,,,,,,,,
,,R15,100k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R16,100k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R17,470,gps_node-rescue:R,Resistors_SMD:R_0805,,,,,,,,
,,R18,470,gps_node-rescue:R,Resistors_SMD:R_0805,,,,,,,,
,,SW1,RS stock no. 448-0747,gps_node-rescue:SW_SPDT,EG1224:EG1224_Switch,,,,,,,,
,,SW2,SW_Push,gps_node-rescue:SW_Push-Switch,Buttons_Switches_SMD:SW_SPST_PTS645,,,,,,,,
,,SW3,SW_Push,gps_node-rescue:SW_Push-Switch,Buttons_Switches_SMD:SW_SPST_PTS645,,,,,,,,
,,U1,TLV71333PDBV,gps_node-rescue:TLV71333PDBV,TO_SOT_Packages_SMD:SOT-23-5,,,,,,,,
,,U2,ublox-cam-m8q-0,drawn_by_jpmeijers:ublox-cam-m8q-0,drawn_by_jpmeijers:ublox-cam-m8q-0,,,,,,,,
,,U3,TLV71333PDBV,gps_node-rescue:TLV71333PDBV,TO_SOT_Packages_SMD:SOT-23-5,,,,,,,,
,,U4,ATMEGA32U4-AU,gps_node-rescue:ATMEGA32U4-AU,Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm,,,,,,,,
,,U5,RN2483,drawn_by_jpmeijers:RN2483,drawn_by_jpmeijers:RN2483,,,,,,,,
,,U6,LIS3DH,gps_node-rescue:LIS3DH-STM-LISxxx,lga_16:LGA16-pitch0.5-3mmx3mm,,,,,,,,
,,Y1,16MHz,gps_node-rescue:Crystal,gps_node_components:QC3CA_16MHz,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey,Manufacturer,Description,Mouser,,Digikey,Dollar
1,2,"C1, C19",NFM21HC105R1C3D,gps_node-rescue:C_Feedthrough,gps_node_components:C_FEEDTHROUGH_0805,,,,,81-NFM21HC105R1C3D ,0.422,,
2,1,C2,10uF,gps_node-rescue:C,Capacitors_SMD:C_0805,,,,,,,,
3,4,"C3, C5, C6, C26",10uF,gps_node-rescue:C-Device,Capacitors_SMD:C_0805,~,,,,,,,
4,2,"C4, C22",100nF,gps_node-rescue:C,Capacitors_SMD:C_0805,,,,,,,,
5,13,"C7, C8, C9, C10, C11, C12, C13, C17, C20, C23, C24, C25, C27",100nF,gps_node-rescue:C-Device,Capacitors_SMD:C_0805,~,,,,,,,
6,2,"C14, C15",22pF,gps_node-rescue:C-Device,Capacitors_SMD:C_0805,~,,,,,,,
7,1,C16,1uF,gps_node-rescue:C-Device,Capacitors_SMD:C_0805,~,,,,,,,
8,1,C18,10uF,gps_node-rescue:C_Small,Capacitors_SMD:C_0805,,,,,,,,
9,1,C21,100nF,gps_node-rescue:C_Small,Capacitors_SMD:C_0805,,,,,,,,
10,1,D1,BAS K73,gps_node-rescue:D_Small,Diodes_SMD:D_SOT-23_ANK,,,,,,,,
11,1,D2,LED_Dual_CCAA,gps_node-rescue:LED_Dual_CCAA-led_dual_ccaa,dual_led:LED_DUAL_1206,~,492-1245-1-ND,,,,,,
12,2,"D3, D4",LED,gps_node-rescue:LED-Device,LEDs:LED_0805_HandSoldering,~,,,,,,,
